token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
邮票,303,25,0.3663105641690803,177,0.026407399906633877,0.04000534236333339,0.999999999515083,177,4.849147906857716e-10,0.9999999990301682,1.816735776926716e-9,3,yóupiào,(postage) stamp,Translation,画册 | 报刊 | 刊物 | 画展 | 美术 | 展览 | 出版 | 报纸 | 国画 | 图书 | 杂志 | 年画,0.0
笔记本,303,25,0.3655054845100818,348,-0.061063657602921206,-0.09623985095564073,0.999999999805496,348,1.9449364033628927e-10,0.9999999996110024,7.583612050916446e-10,2,bǐjìběn,notebook (stationery); notebook (computing),Translation,录音机 | 电脑 | 电视机 | 摄像机 | 显示器 | 磁带 | 相机 | 硬盘 | 打印机 | 屏幕 | 音响 | 电视,0.0
印章,303,25,0.3629152318225994,186,0.012641089888249746,0.019456036313353194,0.9999999999999716,277,1.6093796078329147e-14,0.9999999999999555,1.5385676872006682e-13,7-9,yìnzhāng,seal; signet; chop; stamp,Translation,符号 | 字母 | 字体 | 名字 | 记号 | 标示 | 地名 | 字迹 | 标签 | 标志 | 书写 | 姓名,0.25
硬币,303,25,0.35508200437372706,181,0.03018329660880692,0.044709285785660545,0.9999999999298126,181,6.267172472095015e-11,0.9999999998671408,2.8958247579028666e-10,7-9,yìngbì,coin,Translation,牙膏 | 洗衣粉 | 肥皂 | 口香糖 | 香烟 | 饮料 | 汽水 | 牙刷 | 药片 | 瓶 | 沐浴露 | 矿泉水,0.5
纸,303,25,0.35496761722951625,331,0.04167087481664511,0.060682506390116846,0.9999999999748894,247,1.3494826598595867e-11,0.9999999999613945,1.094111806926207e-10,2,zhǐ,"variant of 纸; paper; classifier for documents, letter etc",Translation,缠 | 钉 | 绷 | 裹 | 缝 | 绑 | 绣 | 拴 | 扎 | 夹 | 镶 | 罩,0.5
手表,303,25,0.3536225755911451,169,-0.06533442613107471,-0.10107782800555948,0.9999999502449851,169,1.9899561874789974e-8,0.9999999303454232,1.5715061743500694e-7,2,shǒubiǎo,wristwatch,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,0.0
相片,303,25,0.34798442624472736,348,-0.03103404876298943,-0.04759709738871627,0.9999999687414065,394,3.125859560342296e-8,0.9999999374828109,9.537526045360565e-8,4,xiàngpiàn,image; photograph,Translation,装扮 | 礼服 | 旗袍 | 发型 | 婚纱 | 打扮 | 制服 | 海报 | 肖像 | 化妆 | 照片 | 模特儿,0.0
戒指,303,25,0.3427016534166077,169,-0.054319225220480494,-0.08264013670934883,0.999999968751013,169,3.12484427925465e-8,0.9999999375025702,9.534862400785544e-8,7-9,jièzhi,(finger) ring,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,0.75
磁卡,303,25,0.34047302990731115,186,-0.01872732450676673,-0.028395085198918885,0.9999999999998863,348,7.524309586384797e-14,0.999999999999811,5.816039956727837e-13,7-9,cíkǎ,magnetic card; IC Card (telephone),Translation,录音机 | 电脑 | 电视机 | 摄像机 | 显示器 | 磁带 | 相机 | 硬盘 | 打印机 | 屏幕 | 音响 | 电视,0.25
物品,303,25,0.3360829189666365,104,0.007695471903362949,0.011458201413468906,1.0,273,8.981294374432667e-23,1.0,1.3394543206740588e-21,6,wùpǐn,articles; goods,Translation,首饰 | 工艺品 | 珠宝 | 丝绸 | 服装 | 家具 | 刺绣 | 瓷器 | 地毯 | 服饰 | 陶瓷 | 宝石,0.5
胶带,303,25,0.3355139962731064,169,-0.030327741944246256,-0.04564090405839621,0.9999999999001119,232,9.886530247335082e-11,0.9999999998012467,4.015919215420108e-10,5,jiāodài,adhesive tape; magnetic tape,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,0.75
随身,303,25,0.3141170456706323,169,0.001963360955724136,0.0028543599232778933,1.0,169,3.3790805988842e-20,1.0,2.528569334980964e-19,7-9,suíshēn,to (carry) on one's person; to (take) with one,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,0.5
日历,303,25,0.2876616918108564,348,0.009175023862446563,0.012716360813954396,1.0,395,5.2780629497120465e-19,1.0,4.272755375130327e-18,4,rìlì,calendar,Translation,五 | 八 | 四 | 六 | 条 | 七 | 张 | 三 | 次 | 十 | 九 | 枚,0.25
指南针,303,25,0.2701999821962107,79,-0.006638916919609494,-0.009096898818375205,1.0,79,3.1966660855936765e-15,0.9999999999999968,1.7807722730315355e-14,7-9,zhǐnánzhēn,compass,Translation,棍子 | 钳子 | 剪子 | 绳子 | 叉子 | 梳子 | 剪刀 | 竹竿 | 棍 | 刷子 | 筷子 | 铲子,0.0
件,303,25,0.2438242883214576,169,-0.07140787377110194,-0.09443291111875608,1.0,8,6.165627295310099e-15,0.9999999999999938,3.500021066241868e-14,2,jiàn,"item; component; classifier for events, things, clothes etc",Translation,箱子 | 杯子 | 垫子 | 毯子 | 脸盆 | 帐子 | 被子 | 瓶子 | 盖子 | 帘子 | 水壶 | 枕头,0.75
冷静,304,28,0.47863993475302863,98,0.07808062650169922,0.13025579940848633,1.0,123,3.126905990184474e-15,0.9999999999999969,1.7430580815918583e-14,4,lěngjìng,calm; cool-headed; dispassionate; (of a place) deserted; quiet,Translation,悠闲 | 安逸 | 潇洒 | 自由自在 | 自在 | 怡然自得 | 无忧无虑 | 从容 | 安稳 | 舒畅 | 愉快 | 安静,0.5
谦虚,304,28,0.44904562893072913,22,-0.021704153741343324,-0.039393740899488085,0.999999732976356,22,2.6702364016841756e-7,0.9999994659527158,7.191354206538048e-7,6,qiānxū,modest; self-effacing; to make modest remarks,Translation,质朴 | 朴实 | 纯朴 | 善良 | 谦逊 | 敦厚 | 豁达 | 朴素 | 真挚 | 正直 | 刚毅 | 坚韧,0.5
坦诚,304,28,0.447261744252912,191,-0.0024725324179780683,-0.00447324279126684,0.99999999999973,191,2.6462436710800214e-13,0.9999999999994653,1.3241588787059293e-12,7-9,tǎnchéng,candid; frank; plain dealing,Translation,诚恳 | 真诚 | 和蔼 | 体贴 | 友善 | 礼貌 | 殷勤 | 宽容 | 诚挚 | 客气 | 善意 | 仁慈,0.75
勇敢,304,28,0.43597131026424735,22,0.0021116311838103585,0.0037298724464289177,0.9999999999999147,234,8.774553464686925e-14,0.999999999999827,4.657080653411335e-13,4,yǒnggǎn,brave; courageous,Translation,艰苦奋斗 | 奋斗 | 拼搏 | 自强不息 | 英勇 | 发愤图强 | 伟大 | 勇往直前 | 弘扬 | 中华民族 | 祖国 | 发扬,0.0
理智,304,28,0.4334299027576275,98,0.03840083976251574,0.06347551165454657,0.99999999999919,5,8.126785283594415e-13,0.9999999999983773,3.911186734564777e-12,6,lǐzhì,reason; intellect; rationality; rational,Translation,思维 | 观念 | 人格 | 意识 | 天性 | 审美 | 本性 | 自尊心 | 认知 | 自尊 | 性格 | 心态,0.5
坦率,304,28,0.42240545570916976,22,-0.014097818324209088,-0.024407810744677946,0.9999999999999858,191,2.036150387802465e-14,0.9999999999999655,1.0950852286007486e-13,7-9,tǎnshuài,frank (discussion); blunt; open,Translation,诚恳 | 真诚 | 和蔼 | 体贴 | 友善 | 礼貌 | 殷勤 | 宽容 | 诚挚 | 客气 | 善意 | 仁慈,0.75
坦然,304,28,0.42162314426774034,123,-0.010914372821193674,-0.018870694276615783,1.0,123,4.971086516838847e-15,0.999999999999995,2.732648205411208e-14,7-9,tǎnrán,calm; undisturbed,Translation,悠闲 | 安逸 | 潇洒 | 自由自在 | 自在 | 怡然自得 | 无忧无虑 | 从容 | 安稳 | 舒畅 | 愉快 | 安静,0.25
镇定,304,28,0.4151723633486028,128,0.03706559156286493,0.059601214294127604,1.0,123,1.1746231310107006e-21,1.0,9.45551641854668e-21,7-9,zhèndìng,calm; unperturbed; cool,Translation,悠闲 | 安逸 | 潇洒 | 自由自在 | 自在 | 怡然自得 | 无忧无虑 | 从容 | 安稳 | 舒畅 | 愉快 | 安静,0.25
诚实,304,28,0.41434826204977315,22,-0.06539709838160224,-0.11166550723556494,0.9999999999723173,4,2.3744315984625227e-11,0.9999999999485729,1.1881790211810653e-10,4,chéngshí,honest,Translation,和睦 | 和平 | 和谐 | 公正 | 平等 | 团结 | 民主 | 安宁 | 正义 | 富强 | 安定 | 和平共处,0.0
谨慎,304,28,0.41041093783954413,363,0.0017170660887903533,0.0029038530242775267,1.0,318,4.04225281730373e-25,1.0,3.789490542034692e-24,7-9,jǐnshèn,cautious; prudent,Translation,顺畅 | 畅通 | 通畅 | 高效 | 便捷 | 健全 | 完善 | 稳固 | 可靠 | 完备 | 稳妥 | 快捷,0.5
沉着,304,28,0.41004339803043477,22,0.01536517472538057,0.025383482499629132,1.0,170,7.320549487213575e-21,1.0,5.809114981980486e-20,7-9,chénzhuó,steady; calm and collected; not nervous,Translation,文雅 | 稳重 | 沉稳 | 优雅 | 俊俏 | 得体 | 硬朗 | 简洁 | 活泼 | 英俊 | 高雅 | 大方,0.0
自信,304,28,0.4069226171146332,84,-0.02004124874926405,-0.03379196261331337,0.9999999996973372,84,3.024450360085007e-10,0.9999999993948921,1.1580439293250123e-9,4,zìxìn,to have confidence in oneself; self-confidence,Translation,斗志 | 勇气 | 志气 | 毅力 | 魄力 | 自信心 | 信念 | 信心 | 劲头 | 决心 | 意志 | 责任感,0.25
坚定,304,28,0.4019151740588813,22,0.058744979166762745,0.08943713989518821,1.0,39,3.3937302810342115e-18,1.0,2.278434401534602e-17,5,jiāndìng,firm; steady; staunch; resolute,Translation,尽力 | 尽快 | 尽早 | 设法 | 千方百计 | 想方设法 | 竭尽全力 | 全力 | 及早 | 竭力 | 力求 | 全力以赴,0.75
理性,304,28,0.3944916420720415,5,0.02571291395305797,0.04073518288829892,1.0,341,1.7198267915467155e-21,1.0,1.9247856221358483e-20,7-9,lǐxìng,reason; rationality; rational,Translation,伦理 | 本质 | 范畴 | 界限 | 规律 | 微观 | 层面 | 理论 | 界定 | 体制 | 尺度 | 地域,0.25
清醒,304,28,0.3913235253015515,27,0.04830204396873322,0.07352149666434142,1.0,5,3.345529029237624e-23,1.0,2.9876056680806875e-22,4,qīngxǐng,clear-headed; sober; awake,Translation,思维 | 观念 | 人格 | 意识 | 天性 | 审美 | 本性 | 自尊心 | 认知 | 自尊 | 性格 | 心态,0.25
严肃,304,28,0.38893026288405674,22,0.014418504114424802,0.023051598997389386,1.0,4,3.586190931155487e-18,1.0,2.5238496531751007e-17,5,yánsù,solemn; grave; serious; earnest; severe,Translation,和睦 | 和平 | 和谐 | 公正 | 平等 | 团结 | 民主 | 安宁 | 正义 | 富强 | 安定 | 和平共处,0.5
明智,304,28,0.38272877211721623,266,0.05308556522452751,0.07919001607854159,1.0,318,1.0198357663344334e-19,1.0,7.554404869623506e-19,7-9,míngzhì,sensible; wise; judicious; sagacious,Translation,顺畅 | 畅通 | 通畅 | 高效 | 便捷 | 健全 | 完善 | 稳固 | 可靠 | 完备 | 稳妥 | 快捷,0.75
慎重,304,28,0.3787608865011635,266,0.04148471391577485,0.06259728743662835,1.0,39,3.687820042711734e-17,1.0,2.3343175358461394e-16,7-9,shènzhòng,cautious; careful; prudent,Translation,尽力 | 尽快 | 尽早 | 设法 | 千方百计 | 想方设法 | 竭尽全力 | 全力 | 及早 | 竭力 | 力求 | 全力以赴,0.5
坚强,304,28,0.3777190989260881,22,-0.04184030470275385,-0.06723700603786356,0.9999999999986215,22,1.3782355681632879e-12,0.9999999999972433,6.512325209309755e-12,3,jiānqiáng,staunch; strong,Translation,质朴 | 朴实 | 纯朴 | 善良 | 谦逊 | 敦厚 | 豁达 | 朴素 | 真挚 | 正直 | 刚毅 | 坚韧,0.0
耐心,304,28,0.36887260193500715,191,-0.00602014511199056,-0.009538716161662518,1.0,5,2.779816733918088e-17,1.0,3.0577644730744325e-16,5,nàixīn,to be patient; patience,Translation,思维 | 观念 | 人格 | 意识 | 天性 | 审美 | 本性 | 自尊心 | 认知 | 自尊 | 性格 | 心态,0.5
强硬,304,28,0.36359361561396547,98,-0.023719174224809847,-0.03727048440548369,1.0,98,3.3264496627566853e-22,1.0,4.333491479351606e-21,7-9,qiángyìng,tough; unyielding; hard-line,Translation,高傲 | 狡猾 | 冷酷 | 奸诈 | 暴躁 | 倔强 | 粗鲁 | 凶狠 | 冷漠 | 傲慢 | 冷酷无情 | 鲁莽,0.5
务实,304,28,0.35842450099257434,22,-0.014347212872637294,-0.022362470036392596,1.0,4,1.815815013201626e-15,0.9999999999999982,1.0393686414382218e-14,7-9,wùshí,pragmatic; dealing with concrete issues,Translation,和睦 | 和平 | 和谐 | 公正 | 平等 | 团结 | 民主 | 安宁 | 正义 | 富强 | 安定 | 和平共处,0.75
顽强,304,28,0.35056282502052016,22,-0.02750142999327071,-0.04234655953309067,1.0,234,2.769385220378917e-16,0.9999999999999998,2.1142085669729604e-15,6,wánqiáng,tenacious; hard to defeat,Translation,艰苦奋斗 | 奋斗 | 拼搏 | 自强不息 | 英勇 | 发愤图强 | 伟大 | 勇往直前 | 弘扬 | 中华民族 | 祖国 | 发扬,0.0
坦白,304,28,0.34560231192296526,191,0.030178371469979204,0.044083299509404796,1.0,24,6.541026710203692e-17,0.9999999999999999,4.0684194016132814e-16,7-9,tǎnbái,honest; forthcoming; to confess,Translation,反驳 | 质问 | 批评 | 指责 | 抨击 | 辩解 | 反问 | 劝告 | 质疑 | 追问 | 告诫 | 调侃,0.25
顺从,304,28,0.34015003524223636,365,-0.04453867027976566,-0.0674981778564104,1.0,146,3.847306238071784e-19,1.0,2.9323175714093348e-18,7-9,shùncóng,obedient; to comply; to submit; to defer,Translation,依照 | 遵守 | 履行 | 遵照 | 依法 | 违反 | 按照 | 不予 | 予以 | 服从 | 采取 | 负有,0.25
平常心,304,28,0.33199753329062776,5,0.01981032739804517,0.02880191756792386,1.0,5,5.539194082709491e-15,0.9999999999999944,3.0964444067876574e-14,7-9,píngchángxīn,levelheadedness; calmness; equanimity,Translation,思维 | 观念 | 人格 | 意识 | 天性 | 审美 | 本性 | 自尊心 | 认知 | 自尊 | 性格 | 心态,0.5
诚意,304,28,0.31195007472169367,191,-0.06551447367678986,-0.09521761614942433,0.999999999999929,191,6.984166242091004e-14,0.9999999999998591,3.649752953785963e-13,7-9,chéngyì,sincerity; good faith,Translation,诚恳 | 真诚 | 和蔼 | 体贴 | 友善 | 礼貌 | 殷勤 | 宽容 | 诚挚 | 客气 | 善意 | 仁慈,0.5
保守,304,28,0.29851927388287947,346,-0.02467203157606679,-0.03517136060549082,1.0,287,2.142645404697339e-17,1.0,1.4734540437884886e-16,4,bǎoshǒu,conservative; to guard; to keep,Translation,处于 | 处在 | 缺乏 | 陷入 | 面临 | 欠缺 | 缺失 | 低迷 | 缺少 | 薄弱 | 徘徊 | 存在,0.25
审核,305,33,0.40012821521826036,180,0.10016669267019024,0.14308741004464073,0.9999999998164668,180,1.83296623847784e-10,0.9999999996331702,7.177262642213263e-10,7-9,shěnhé,to audit; to investigate thoroughly,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,1.0
审查,305,33,0.39906164870185135,88,0.09382745844992613,0.135049044056944,0.9999999999589733,180,4.096549407000923e-11,0.9999999999180078,1.7071104991342091e-10,6,shěnchá,to examine; to investigate; to censor out; censorship,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,1.0
验收,305,33,0.3922288513849998,187,0.06862392017996699,0.1014553821366913,0.9999999998972839,187,1.0247338262959446e-10,0.9999999997948106,4.1168869946612817e-10,7-9,yànshōu,to inspect and accept; acceptance,Translation,检测 | 测量 | 监测 | 观测 | 测定 | 测试 | 化验 | 探测 | 试验 | 检验 | 测 | 检查,0.75
证书,305,33,0.3874754398912242,203,0.05404835368281774,0.08108393330203048,1.0,203,1.246852874879296e-17,1.0,9.158023301702748e-17,5,zhèngshū,credentials; certificate,Translation,身份证 | 护照 | 证件 | 车票 | 驾照 | 签证 | 车牌 | 通行证 | 挂号 | 一卡通 | 机票 | 号码,0.5
评审,305,33,0.38584102513737273,265,0.06389345069310448,0.09423084157650112,0.9999999999999858,382,1.1555842936787882e-14,0.9999999999999742,6.662182529478357e-14,7-9,píngshěn,to appraise; to evaluate; to judge,Translation,预订 | 预约 | 订购 | 报名 | 抽奖 | 预售 | 领取 | 预定 | 申领 | 购买 | 招聘 | 招标,0.75
审批,305,33,0.38501294294074906,286,0.07070594295501825,0.10311603436748927,0.9999996418669286,180,3.5813260581372435e-7,0.9999992837343228,9.469605521668206e-7,7-9,shěnpī,to examine and approve; to endorse,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
认证,305,33,0.37974436255265975,203,0.09626665732618839,0.13435263358639157,0.9999999999999574,203,2.8453300857558536e-14,0.999999999999929,2.090147846380461e-13,7-9,rènzhèng,to authenticate; to approve,Translation,身份证 | 护照 | 证件 | 车票 | 驾照 | 签证 | 车牌 | 通行证 | 挂号 | 一卡通 | 机票 | 号码,1.0
登记,305,33,0.37118974205541433,203,0.05804825219657833,0.08451267814189,0.9999999892718706,180,1.005283956768147e-8,0.999999979219031,3.506999586438623e-8,4,dēngjì,to register (one's name),Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
公示,305,33,0.363679031245456,382,0.04995800526215438,0.07279547699058424,0.9999999999638618,180,3.573889537885753e-11,0.9999999999281229,1.5144396009491567e-10,7-9,gōngshì,to make known to the public (for information or to seek comments); public notification,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,1.0
许可证,305,33,0.36253100508879343,203,0.05920633598710773,0.08498411435175296,1.0,180,1.282053490740331e-15,0.9999999999999987,1.2680791097468682e-14,7-9,xǔkězhèng,license; authorization; permit,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
评定,305,33,0.35814763488600676,187,0.05021791566709616,0.07256187277745679,1.0,187,7.636111698360848e-16,0.9999999999999992,4.4602357103055085e-15,7-9,píngdìng,to evaluate; to make one's judgment,Translation,检测 | 测量 | 监测 | 观测 | 测定 | 测试 | 化验 | 探测 | 试验 | 检验 | 测 | 检查,0.75
手续,305,33,0.352512352320718,203,0.03213784457671748,0.04728757961982366,0.9999999882864615,180,1.1713532384549209e-8,0.9999999765729292,3.7658934366758456e-8,3,shǒuxù,procedure; formalities,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
复查,305,33,0.3460531314403231,310,0.002750152658713867,0.004187856149570112,1.0,187,4.225280208923329e-15,0.9999999999999958,2.334105573900788e-14,7-9,fùchá,to check again; to re-examine,Translation,检测 | 测量 | 监测 | 观测 | 测定 | 测试 | 化验 | 探测 | 试验 | 检验 | 测 | 检查,0.5
申报,305,33,0.34597580483374724,180,0.044877132175588086,0.06421097001814415,0.9996708872857727,180,0.00032890779422577654,0.9993419794915469,0.0004957124844541709,7-9,shēnbào,to report (to the authorities); to declare (to customs),Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
执照,305,33,0.33910267822903356,203,-0.020722697021232916,-0.03135539566978954,0.9999999860212513,203,1.3978743770661644e-8,0.9999999720425076,4.4529096965705207e-8,7-9,zhízhào,license; permit,Translation,身份证 | 护照 | 证件 | 车票 | 驾照 | 签证 | 车牌 | 通行证 | 挂号 | 一卡通 | 机票 | 号码,0.5
审定,305,33,0.3386390084575013,286,0.04753066543433904,0.06704926622643557,0.9999999999971152,180,2.875474880472411e-12,0.9999999999942397,1.3296251336979442e-11,7-9,shěndìng,to examine sth and make a decision; to screen; to evaluate; to approve,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
考核,305,33,0.33844133695844686,52,0.03354155317132407,0.048254269512486944,0.9999999999999858,110,1.3822434473478815e-14,0.9999999999999719,7.914320388524283e-14,5,kǎohé,to examine; to check up on; to assess; to review; appraisal; review; evaluation,Translation,学校 | 大学 | 研究生 | 入学 | 高中 | 毕业生 | 就读 | 补习 | 初中 | 中学 | 毕业 | 报考,0.75
资格,305,33,0.33841514728816335,199,0.03936890652503544,0.056164769795794156,1.0,52,1.7023357934563894e-21,1.0,1.3778387640529805e-20,3,zīgé,qualifications; seniority,Translation,考试 | 复习 | 试卷 | 口试 | 考 | 笔试 | 选修 | 理科 | 试题 | 高考 | 补考 | 课程,0.0
鉴定,305,33,0.3345444821021984,187,-0.020352081092980978,-0.030583683725809357,0.9999999999952678,187,3.709142454069819e-12,0.9999999999915586,2.1803315070924316e-11,6,jiàndìng,to appraise; to identify; to evaluate,Translation,检测 | 测量 | 监测 | 观测 | 测定 | 测试 | 化验 | 探测 | 试验 | 检验 | 测 | 检查,0.25
许可,305,33,0.3290760360352087,180,0.05358005062924548,0.07395411143341722,0.9999999630094585,180,3.6990434199509494e-8,0.9999999260190243,1.1182519799354823e-7,5,xǔkě,to allow; to permit,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
公证,305,33,0.3210678468542672,203,0.007867820016205285,0.011455766341956605,0.999999965535651,158,2.539851720219676e-8,0.9999999401371338,1.0791587351049445e-7,7-9,gōngzhèng,notarization; notarized; acknowledgement,Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,1.0
合格,305,33,0.32101467517384896,266,0.07878536340419784,0.10396992735122591,1.0,243,1.2755404772488083e-20,1.0,1.5874247325056593e-19,3,hégé,to meet the standard required; qualified; eligible (voter etc),Translation,蛋白质 | 脂肪 | 含量 | 富含 | 钙 | 热量 | 液体 | 食物 | 含有 | 氧气 | 有毒 | 水分,0.5
填写,305,33,0.32030334334142685,186,-0.00694838505244505,-0.010222773621697132,0.999999999999929,180,6.604958247452781e-14,0.9999999999998629,3.593592507498118e-13,7-9,tiánxiě,to fill in a form; to write data in a box (on a questionnaire or web form),Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.5
答辩,305,33,0.3172329056635578,52,-0.03891258597571867,-0.05699247415187235,0.9999999999999716,52,3.51550075720005e-14,0.9999999999999364,1.8694119072001186e-13,7-9,dábiàn,to reply (to an accusation); to defend one's dissertation,Translation,考试 | 复习 | 试卷 | 口试 | 考 | 笔试 | 选修 | 理科 | 试题 | 高考 | 补考 | 课程,0.0
上岗,305,33,0.31259485275400584,80,0.012725600217009858,0.018176033923838503,1.0,382,6.0654149490300095e-15,0.9999999999999939,3.3143397459130526e-14,7-9,shànggǎng,to take up one's post; to go on duty; to take up a job,Translation,预订 | 预约 | 订购 | 报名 | 抽奖 | 预售 | 领取 | 预定 | 申领 | 购买 | 招聘 | 招标,0.25
注册,305,33,0.31203535802771465,382,0.025852177372151175,0.03621682296011686,0.9999999984058832,180,1.5941109278610505e-9,0.9999999968117722,5.655736871467589e-9,5,zhùcè,to register; to enroll,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
通知书,305,33,0.3058539969974031,275,-0.03357021856940495,-0.04836189854035566,0.9999999435708433,180,5.642916346698162e-8,0.9999998871416799,1.6661163223919331e-7,4,tōngzhīshū,written notice,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.5
体检,305,33,0.301710570916636,290,-0.06831283133679483,-0.09782882067464231,1.0,149,2.484041259277244e-15,0.9999999999999976,2.5067596466100644e-14,4,tǐjiǎn,abbr. for 体格检查,Translation,治疗 | 儿科 | 急诊 | 外科 | 内科 | 针灸 | 临床 | 中医 | 西医 | 药物 | 医学 | 门诊,0.0
达标,305,33,0.293391507595052,67,0.020749745424058108,0.028527545774405718,1.0,174,1.1853517040617814e-20,1.0,1.398499122931212e-19,7-9,dábiāo,to reach a set standard,Translation,出色 | 出众 | 雄厚 | 高超 | 过硬 | 优异 | 强大 | 深厚 | 丰富 | 卓越 | 独特 | 优良,0.25
试用期,305,33,0.2816578235407105,206,-0.0313481783990775,-0.04363961831336801,0.9999999999997868,52,1.2556443686543487e-13,0.9999999999996613,1.1215609678651256e-12,7-9,shìyòngqī,trial period; probationary period,Translation,考试 | 复习 | 试卷 | 口试 | 考 | 笔试 | 选修 | 理科 | 试题 | 高考 | 补考 | 课程,0.0
保密,305,33,0.25939510669239596,83,-0.037022042633245655,-0.04998892522557072,1.0,45,9.843371847641062e-20,1.0,7.893194969521279e-19,4,bǎomì,to keep sth confidential; to maintain secrecy,Translation,间谍 | 监视 | 秘密 | 窃取 | 隐蔽 | 隐藏 | 侦察 | 伪装 | 情报 | 操纵 | 机密 | 偷窥,1.0
保修,305,33,0.25739040091131055,80,-0.07114281106705517,-0.09580109273346273,0.9999999999997442,261,2.5462165522039427e-13,0.9999999999994896,1.2757885357014908e-12,7-9,bǎoxiū,to promise to keep sth in good repair; guarantee; warranty,Translation,生产 | 加工 | 燃料 | 运输 | 开采 | 天然气 | 施工 | 工艺 | 制造 | 原材料 | 发电 | 销售,0.25
有效期,305,33,0.24824198176484552,203,-0.0020211931708482567,-0.0026886220323838507,0.999999986844884,180,1.298343340076045e-8,0.9999999738614506,4.221059515290161e-8,7-9,yǒuxiàoqī,period of validity; sell-by date,Translation,签署 | 协议 | 签订 | 提交 | 订立 | 协议书 | 批准 | 事项 | 转让 | 申请 | 披露 | 递交,0.75
后代,306,28,0.4107701276694576,182,0.02094291124227121,0.034322919353501506,1.0,399,3.416666210067551e-22,1.0,2.9354951097452434e-21,7-9,hòudài,descendant; progeny; posterity; later ages; later generations,Translation,国王 | 大臣 | 首相 | 外交官 | 元首 | 王后 | 总统 | 将军 | 大使 | 首脑 | 夫人 | 司令,1.0
子孙,306,28,0.3940075927751269,33,-0.01127335231640847,-0.01860312469595847,0.999999999995481,397,4.512420931094847e-12,0.9999999999909686,2.0430261280737522e-11,7-9,zǐsūn,offspring; posterity,Translation,师父 | 小偷儿 | 阎王 | 仇人 | 徒弟 | 大人 | 恩人 | 皇上 | 小人 | 家伙 | 皇帝 | 祖宗,0.75
一生,306,28,0.39050532708074653,242,0.03594622259717872,0.05569250855791733,1.0,6,5.933638745976199e-15,0.9999999999999941,3.268891324165966e-14,2,yīshēng,all one's life; throughout one's life,Translation,辛苦 | 辛勤 | 艰辛 | 操劳 | 奔波 | 心血 | 风餐露宿 | 汗水 | 忍饥挨饿 | 付出 | 东奔西走 | 节衣缩食,0.5
